"ID","worktype","composer","display title",
"mc000292","musical composition","Bach, J. S.","Prelude and Fugue in C minor, Well-Tempered Clavier, Book II",
"mc000223","musical composition","Bach, J. S.","Prelude and Fugue in C# major, Well-Tempered Clavier, Book I",
"mc000295","musical composition","Bach, J. S.","Prelude and Fugue in C# major, Well-Tempered Clavier, Book II",
"mc000226","musical composition","Bach, J. S.","Prelude and Fugue in C# minor, Well-Tempered Clavier, Book I",
"mc000298","musical composition","Bach, J. S.","Prelude and Fugue in C# minor, Well-Tempered Clavier, Book II",
"mc000229","musical composition","Bach, J. S.","Prelude and Fugue in D major, Well-Tempered Clavier, Book I",
"mc000301","musical composition","Bach, J. S.","Prelude and Fugue in D major, Well-Tempered Clavier, Book II",
"mc000232","musical composition","Bach, J. S.","Prelude and Fugue in D minor, Well-Tempered Clavier, Book I",
"mc000304","musical composition","Bach, J. S.","Prelude and Fugue in D minor, Well-Tempered Clavier, Book II",
"mc000241","musical composition","Bach, J. S.","Prelude and Fugue in E major, Well-Tempered Clavier, Book I",
"mc000313","musical composition","Bach, J. S.","Prelude and Fugue in E major, Well-Tempered Clavier, Book II",
"mc000244","musical composition","Bach, J. S.","Prelude and Fugue in E minor, Well-Tempered Clavier, Book I",
"mc000316","musical composition","Bach, J. S.","Prelude and Fugue in E minor, Well-Tempered Clavier, Book II",
"mc000235","musical composition","Bach, J. S.","Prelude and Fugue in Eb major, Well-Tempered Clavier, Book I",
"mc000307","musical composition","Bach, J. S.","Prelude and Fugue in Eb major, Well-Tempered Clavier, Book II",
"mc000238","musical composition","Bach, J. S.","Prelude and Fugue in Eb minor, Well-Tempered Clavier, Book I",
"mc000310","musical composition","Bach, J. S.","Prelude and Fugue in Eb minor, Well-Tempered Clavier, Book II",
"mc000247","musical composition","Bach, J. S.","Prelude and Fugue in F major, Well-Tempered Clavier, Book I",
"mc000319","musical composition","Bach, J. S.","Prelude and Fugue in F major, Well-Tempered Clavier, Book II",
"mc000250","musical composition","Bach, J. S.","Prelude and Fugue in F minor, Well-Tempered Clavier, Book I",
"mc000322","musical composition","Bach, J. S.","Prelude and Fugue in F minor, Well-Tempered Clavier, Book II",
"mc000253","musical composition","Bach, J. S.","Prelude and Fugue in F# major, Well-Tempered Clavier, Book I",
"mc000325","musical composition","Bach, J. S.","Prelude and Fugue in F# major, Well-Tempered Clavier, Book II",
"mc000256","musical composition","Bach, J. S.","Prelude and Fugue in F# minor, Well-Tempered Clavier, Book I",
"mc000328","musical composition","Bach, J. S.","Prelude and Fugue in F# minor, Well-Tempered Clavier, Book II",
"mc000259","musical composition","Bach, J. S.","Prelude and Fugue in G major, Well-Tempered Clavier, Book I",
"mc000331","musical composition","Bach, J. S.","Prelude and Fugue in G major, Well-Tempered Clavier, Book II",
"mc000262","musical composition","Bach, J. S.","Prelude and Fugue in G minor, Well-Tempered Clavier, Book I",
"mc000334","musical composition","Bach, J. S.","Prelude and Fugue in G minor, Well-Tempered Clavier, Book II",
"mc000268","musical composition","Bach, J. S.","Prelude and Fugue in G# minor, Well-Tempered Clavier, Book I",
"mc000340","musical composition","Bach, J. S.","Prelude and Fugue in G# minor, Well-Tempered Clavier, Book II",
"mc000284","musical composition","Bach, J. S.","Prelude in  B minor, Well-Tempered Clavier, Book I",
"mc000356","musical composition","Bach, J. S.","Prelude in  B minor, Well-Tempered Clavier, Book II",
"mc000269","musical composition","Bach, J. S.","Prelude in A major, Well-Tempered Clavier, Book I",
"mc000341","musical composition","Bach, J. S.","Prelude in A major, Well-Tempered Clavier, Book II",
"mc000272","musical composition","Bach, J. S.","Prelude in A minor, Well-Tempered Clavier, Book I",
"mc000344","musical composition","Bach, J. S.","Prelude in A minor, Well-Tempered Clavier, Book II",
"mc000263","musical composition","Bach, J. S.","Prelude in Ab major, Well-Tempered Clavier, Book I",
"mc000335","musical composition","Bach, J. S.","Prelude in Ab major, Well-Tempered Clavier, Book II",
"mc000281","musical composition","Bach, J. S.","Prelude in B major, Well-Tempered Clavier, Book I",
"mc000353","musical composition","Bach, J. S.","Prelude in B major, Well-Tempered Clavier, Book II",
"mc000275","musical composition","Bach, J. S.","Prelude in Bb major, Well-Tempered Clavier, Book I",
"mc000347","musical composition","Bach, J. S.","Prelude in Bb major, Well-Tempered Clavier, Book II",
"mc000278","musical composition","Bach, J. S.","Prelude in Bb minor, Well-Tempered Clavier, Book I",
"mc000350","musical composition","Bach, J. S.","Prelude in Bb minor, Well-Tempered Clavier, Book II",
"mc000582","musical composition","Bach, J. S.","Prelude in C major","mc000215, mc000287"
"mc000215","musical composition","Bach, J. S.","Prelude in C major, Well-Tempered Clavier, Book I",
"mc000287","musical composition","Bach, J. S.","Prelude in C major, Well-Tempered Clavier, Book II",
"mc000503","musical composition","Bach, J. S.","Prelude in C minor","mc000218, mc000290"
"mc000218","musical composition","Bach, J. S.","Prelude in C minor, Well-Tempered Clavier, Book I",
"mc000290","musical composition","Bach, J. S.","Prelude in C minor, Well-Tempered Clavier, Book II",
"mc000221","musical composition","Bach, J. S.","Prelude in C# major, Well-Tempered Clavier, Book I",
"mc000293","musical composition","Bach, J. S.","Prelude in C# major, Well-Tempered Clavier, Book II",
"mc000224","musical composition","Bach, J. S.","Prelude in C# minor, Well-Tempered Clavier, Book I",
"mc000296","musical composition","Bach, J. S.","Prelude in C# minor, Well-Tempered Clavier, Book II",
"mc000227","musical composition","Bach, J. S.","Prelude in D major, Well-Tempered Clavier, Book I",
"mc000299","musical composition","Bach, J. S.","Prelude in D major, Well-Tempered Clavier, Book II",
"mc000230","musical composition","Bach, J. S.","Prelude in D minor, Well-Tempered Clavier, Book I",
"mc000302","musical composition","Bach, J. S.","Prelude in D minor, Well-Tempered Clavier, Book II",
"mc000239","musical composition","Bach, J. S.","Prelude in E major, Well-Tempered Clavier, Book I",
"mc000311","musical composition","Bach, J. S.","Prelude in E major, Well-Tempered Clavier, Book II",
"mc000242","musical composition","Bach, J. S.","Prelude in E minor, Well-Tempered Clavier, Book I",
"mc000314","musical composition","Bach, J. S.","Prelude in E minor, Well-Tempered Clavier, Book II",
"mc000233","musical composition","Bach, J. S.","Prelude in Eb major, Well-Tempered Clavier, Book I",
"mc000305","musical composition","Bach, J. S.","Prelude in Eb major, Well-Tempered Clavier, Book II",
"mc000236","musical composition","Bach, J. S.","Prelude in Eb minor, Well-Tempered Clavier, Book I",
"mc000308","musical composition","Bach, J. S.","Prelude in Eb minor, Well-Tempered Clavier, Book II",
"mc000245","musical composition","Bach, J. S.","Prelude in F major, Well-Tempered Clavier, Book I",
"mc000317","musical composition","Bach, J. S.","Prelude in F major, Well-Tempered Clavier, Book II",
"mc000248","musical composition","Bach, J. S.","Prelude in F minor, Well-Tempered Clavier, Book I",
"mc000320","musical composition","Bach, J. S.","Prelude in F minor, Well-Tempered Clavier, Book II",
"mc000251","musical composition","Bach, J. S.","Prelude in F# major, Well-Tempered Clavier, Book I",
"mc000323","musical composition","Bach, J. S.","Prelude in F# major, Well-Tempered Clavier, Book II",
"mc000254","musical composition","Bach, J. S.","Prelude in F# minor, Well-Tempered Clavier, Book I",
